,date,league,matchweek,home_team_id,home_team,home_manager,home_formation,home_goals,home_xg,away_xg,away_goals,away_team,away_manager,away_formation,away_team_id,home_team_form,home_team_league_pos,home_team_points_diff,home_team_home_form,home_team_home_league_pos,home_team_home_points_diff,home_team_average_goals_form,home_team_average_xg_form,home_team_average_goals_form_against,home_team_average_xg_form_against,away_team_form,away_team_league_pos,away_team_points_diff,away_team_away_form,away_team_away_league_pos,away_team_away_points_diff,away_team_average_goals_form,away_team_average_xg_form,away_team_average_goals_form_against,away_team_average_xg_form_against
36,"Saturday November 9, 2024",Serie A ,12,af5d5982,Venezia,Eusebio Di Francesco,3-4-3,1,0.8,1.0,2,Parma,Fabio Pecchia,4-2-3-1,eab4234c,LLDWL,18.0,1,WLW,14.0,0,1.6666666666666667,1.5999999999999999,1.3333333333333333,0.9333333333333332,DDDDL,14.0,-2,DDD,10.0,0,1.0,0.8333333333333334,1.0,1.5
37,"Saturday November 9, 2024",Serie A ,12,e0652b02,Juventus,Thiago Motta,4-2-3-1,2,1.7,0.4,0,Torino,Paolo Vanoli,3-5-2,105360fe,DWDDW,6.0,-7,DWD,6.0,-6,1.3333333333333333,2.033333333333333,1.0,0.7999999999999999,LLWLL,10.0,7,LLL,10.0,1,1.3333333333333333,1.0666666666666667,2.3333333333333335,1.5333333333333332
38,"Saturday November 9, 2024",Serie A ,12,c4260e09,Cagliari,Davide Nicola,4-2-3-1,3,1.7,3.3,3,Milan,Paulo Fonseca,4-2-3-1,dc56fe14,DWLLL,14.0,-4,LWL,14.0,-3,1.0,1.5333333333333334,2.0,1.0333333333333334,LWLWD,7.0,-9,LWD,9.0,-7,1.6666666666666667,2.8000000000000003,1.6666666666666667,1.4666666666666668
39,"Saturday October 19, 2024",Serie A ,8,658bf2de,Genoa,Alberto Gilardino,3-5-1-1,2,0.4,0.7,2,Bologna,Vincenzo Italiano,4-2-3-1,1d8099f8,LDLLL,17.0,-2,LDL,19.0,-3,0.3333333333333333,1.0333333333333334,2.0,2.1,DDWDD,13.0,-3,LDW,1.0,-2,1.3333333333333333,0.8666666666666667,2.0,1.4333333333333333
40,"Saturday October 19, 2024",Serie A ,8,dc56fe14,Milan,Paulo Fonseca,4-2-3-1,1,1.2,0.4,0,Udinese,Kosta Runjaić,3-5-2,04eea015,DWWWL,6.0,-7,DWW,8.0,-2,3.0,1.9666666666666668,0.6666666666666666,0.6,WWLLW,3.0,7,DWL,14.0,1,1.3333333333333333,1.3666666666666665,2.0,1.9666666666666668
41,"Saturday October 19, 2024",Serie A ,8,e0652b02,Juventus,Thiago Motta,4-3-3,1,1.3,0.1,0,Lazio,Marco Baroni,4-2-3-1,7213da33,DDDWD,3.0,-6,DDD,6.0,-6,0.3333333333333333,1.0666666666666667,0.3333333333333333,0.5666666666666668,DWLWW,3.0,-5,LLW,7.0,-3,1.6666666666666667,1.4333333333333333,2.0,1.4000000000000001
42,"Saturday October 19, 2024",Serie A ,8,28c9c3cd,Como,Cesc Fàbregas,4-2-3-1,1,1.3,0.5,1,Parma,Fabio Pecchia,4-1-4-1,eab4234c,LDWWL,13.0,-2,DW,17.0,-2,2.5,1.7000000000000002,2.0,1.15,LLDLD,15.0,-2,LDD,10.0,0,1.0,1.5,1.3333333333333333,1.5
43,"Saturday October 26, 2024",Serie A ,9,922493f3,Atalanta,Gian Piero Gasperini,3-4-3,6,2.4,0.2,1,Hellas Verona,Paolo Zanetti,3-4-3,0e72edf2,WLDWW,5.0,-9,WLW,2.0,-1,3.3333333333333335,2.3000000000000003,2.0,1.1666666666666667,LLLWL,12.0,2,WLL,18.0,2,1.6666666666666667,1.1333333333333335,1.6666666666666667,1.6333333333333335
44,"Saturday October 26, 2024",Serie A ,9,d48ad4ff,Napoli,Antonio Conte,4-3-3,1,2.7,0.7,0,Lecce,Luca Gotti,4-5-1,ffcbe334,WDWWW,1.0,0,WWW,2.0,0,2.3333333333333335,1.7333333333333334,0.6666666666666666,0.7999999999999999,DDLLL,19.0,2,DLL,20.0,-2,0.0,0.8666666666666667,1.3333333333333333,0.9666666666666668
45,"Saturday October 5, 2024",Serie A ,7,d609edc0,Internazionale,Simone Inzaghi,3-5-2,3,2.4,1.6,2,Torino,Paolo Vanoli,3-5-2,105360fe,WWDLW,3.0,2,WWL,5.0,1,2.3333333333333335,1.4666666666666668,0.6666666666666666,1.1333333333333333,WWDWL,3.0,5,DWW,10.0,1,2.0,1.4000000000000001,1.3333333333333333,1.1333333333333335
